feature,count,mean,std,min,25%,50%,75%,max
prop_nausea,200000.0,0.186462342035889,0.3214624504146905,0.0,0.0,0.0,0.3333333333333333,1.0
prop_dor_costas,200000.0,0.15621937552242807,0.3018530623347846,0.0,0.0,0.0,0.16666666666666666,1.0
prop_conjuntvit,200000.0,0.020070081573616935,0.10797008108560842,0.0,0.0,0.0,0.0,1.0
prop_artrite,200000.0,0.054770067372702944,0.1799792022755218,0.0,0.0,0.0,0.0,1.0
prop_artralgia,200000.0,0.18118773269252667,0.3293161964803491,0.0,0.0,0.0,0.21428571428571427,1.0
prop_petequia_n,200000.0,0.04852675622353719,0.16914224806710307,0.0,0.0,0.0,0.0,1.0
prop_leucopenia,200000.0,0.028102317672143683,0.1316002186583654,0.0,0.0,0.0,0.0,1.0
prop_laco,200000.0,0.02156301449186986,0.11675330291492367,0.0,0.0,0.0,0.0,1.0
prop_dor_retro,200000.0,0.1456007724324522,0.28824547201039813,0.0,0.0,0.0,0.14285714285714285,1.0
prop_diabetes,200000.0,0.017086799679669633,0.09533629462693387,0.0,0.0,0.0,0.0,1.0
prop_hematolog,200000.0,0.0033894081741881288,0.043812794863218325,0.0,0.0,0.0,0.0,1.0
prop_hepatopat,200000.0,0.0037427404578926223,0.04644243037480273,0.0,0.0,0.0,0.0,1.0
prop_renal,200000.0,0.002935833346255576,0.04094209608455808,0.0,0.0,0.0,0.0,1.0
prop_hipertensa,200000.0,0.043164281059977126,0.15351152582769692,0.0,0.0,0.0,0.0,1.0
prop_acido_pept,200000.0,0.0033287349148093406,0.04321642505979576,0.0,0.0,0.0,0.0,1.0
prop_auto_imune,200000.0,0.0032217967805356256,0.04217044699373496,0.0,0.0,0.0,0.0,1.0
prop_alrm_hipot,200000.0,0.006976855200081281,0.07618858753932677,0.0,0.0,0.0,0.0,1.0
prop_alrm_plaq,200000.0,0.021191873033004936,0.13831390205711186,0.0,0.0,0.0,0.0,1.0
prop_alrm_vom,200000.0,0.007600458231482403,0.07946059180144728,0.0,0.0,0.0,0.0,1.0
prop_alrm_sang,200000.0,0.009448235798918752,0.08838077765361498,0.0,0.0,0.0,0.0,1.0
prop_alrm_hemat,200000.0,0.0027132912860406287,0.047002387206239934,0.0,0.0,0.0,0.0,1.0
prop_alrm_abdom,200000.0,0.015191210256376549,0.11430319351994113,0.0,0.0,0.0,0.0,1.0
prop_alrm_letar,200000.0,0.005067535128608909,0.06524217695806452,0.0,0.0,0.0,0.0,1.0
prop_alrm_hepat,200000.0,0.0010692755071331302,0.030228902085388386,0.0,0.0,0.0,0.0,1.0
prop_alrm_liq,200000.0,0.002291747935589984,0.04392492849431469,0.0,0.0,0.0,0.0,1.0
prop_grav_pulso,200000.0,0.0018108611445742436,0.04070365204667314,0.0,0.0,0.0,0.0,1.0
prop_grav_conv,200000.0,0.001007836943552869,0.030245931977676273,0.0,0.0,0.0,0.0,1.0
