feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,anova_f_norm,mutual_information_norm,random_forest_importance_norm,composite_score,selected
prop_sexo_fem,37.61464725176511,8.673106130261872e-10,0.006356793605750255,0.00021092254556397165,0.00017277625990832801,0.009139706274763572,0.0009691927065461482,0.0034272250804060164,False
prop_alrm_liq,135.13798368247484,3.3268748385967856e-31,0.0067050068501433024,3.83160896308992e-06,0.000620732536342342,0.009640362261432075,1.760630875866845e-05,0.003426233702177695,False
prop_alrm_vom,445.1103597620994,1.908013534456081e-98,0.005298849959681329,4.9031491817749565e-06,0.002044536073710941,0.007618610140452129,2.2530054401617854e-05,0.0032285587561882295,False
prop_alrm_hemat,156.55762371077736,7.090108050797043e-36,0.006194805131253034,3.1167004048018187e-06,0.0007191198817799403,0.008906801579625702,1.4321291698554783e-05,0.0032134142510347324,False
prop_raca_parda,67.25771735590604,2.429007477830748e-16,0.0057392141558572085,0.0001995121758111827,0.00030893648362419717,0.008251759438130937,0.000916761862257652,0.003159152594670929,False
prop_alrm_letar,304.6521588103152,4.7067295468320014e-68,0.005485224144002432,1.869499648879382e-05,0.0013993660559923024,0.007886576257891062,8.59038288078569e-05,0.003123948714230407,False
prop_laco_n,218.22099371595027,2.698868200423174e-49,0.004963535426977916,0.0001361730365754784,0.001002359715760763,0.00713649973564104,0.0006257174334982001,0.0029215256283000013,False
prop_petequias,37.10376515038563,1.1268571127055973e-09,0.0047319330574591145,0.0003219044891738331,0.00017042961291893448,0.006803505185050897,0.0014791566367527954,0.002817697144907542,False
qt_dengue_grave,105.19290651798534,1.1612892478287264e-24,0.005109465139212732,1.2412705490704617e-05,0.000483185096364582,0.007346315373729478,5.703659415796078e-05,0.002628845688084007,False
prop_grav_melen,57.75010700736631,3.019296742556836e-14,0.005139183890769727,5.387035297816256e-07,0.0002652649493494919,0.007389044566610289,2.4753519385942783e-06,0.002552261622632792,False
